stay_year,property_id,Hotel_short_nm,Hotel_region,stays_count,room_nights,room_revenue,total_revenue,ADR,revenue_per_stay,TrevPOR,attach_rate
2022,ABS,Abu Dhabi,EMEA,13877,35122.0,11714980.510420363,16585759.02826561,333.55106515632264,844.201233005719,472.2327608981724,1.4157735058554075
2022,AIL,Anguilla,Americas,5304,27792.0,45217910.89,59216278.37,1627.0117620178469,8525.247151206637,2130.6951054260217,1.309575723523657
2022,ALX,Alexandria,EMEA,10621,26733.0,8600402.715577519,10124892.27217745,321.7148361791613,809.7545161074775,378.7413411206169,1.1772579269850576
2022,AMM,Amman,EMEA,13369,39190.0,8612488.923323378,12107215.856104404,219.76241192455672,644.2133984085106,308.9363576449197,1.4057743311944353
2022,APL,"Athens, Astir Palace",EMEA,11067,35448.0,54676978.89591308,63556620.754655816,1542.45596072876,4940.542052580923,1792.953643496271,1.1624018378127043
2022,ATL,Atlanta,Americas,25627,51691.0,18736340.057153232,23268185.924853828,362.4681290196211,731.1171833282566,450.1399842304043,1.2418746592918721
2022,AUS,Austin,Americas,22844,49267.0,24175181.58,28779912.42,490.6972533338746,1058.2727009280336,584.1620642620821,1.1904734748221901
2022,BAH,Bahrain,EMEA,22126,48651.0,24288020.31493799,31422077.12730487,499.2296214864646,1097.7140158608872,645.8670351545677,1.293727389876201
2022,BAL,Bali at Jimbaran Bay,APAC,4451,15106.0,11579389.82193185,15253998.791859306,766.5424216822355,2601.5254598813412,1009.7973515066402,1.3173404666770603
2022,BCB,Boston at One Dalton,Americas,15826,35653.0,21781167.6,25770052.01,610.921033293131,1376.2901301655504,722.8017841415871,1.1831345538151958
2022,BEJ,Beijing,APAC,10819,32666.0,6151525.261034584,7945229.569919273,188.31584096720087,568.5853832179114,243.22627716645053,1.2915869207668698
2022,BEV,Beverly Wilshire,Americas,24490,64052.0,47478846.14,55936906.68,741.2547014925374,1938.703394855043,873.3046068819084,1.1781437677541673
2022,BHA,Bogota,Americas,3990,12467.0,3658876.0342956767,4698642.571858173,293.4848828343368,917.0115374174628,376.8863858071848,1.2841764869365542
2022,BIH,Bogota Casa Medina,Americas,3956,10248.0,3255294.2971038013,4144893.3982801563,317.65166833565587,822.8752014923664,404.45876251757966,1.2732776271465904
2022,BKU,Baku,EMEA,7721,25406.0,7667326.8715522485,9269070.645497091,301.79197321704515,993.0484226851765,364.8378589898879,1.208905111361265
2022,BLT,Baltimore,Americas,23913,49089.0,19654801.07,22742407.14,400.39114811872315,821.9295391627985,463.2892733606307,1.1570916977996155
2022,BNG,Bengaluru,APAC,11101,24174.0,3240248.3092692615,4332080.602088574,134.03856661161834,291.88796588318723,179.20412848881335,1.336959451439554
2022,BOC,"Bahamas, The Ocean Club",Americas,4506,18513.0,40250068.18,48033325.09,2174.1515788905094,8932.5495295162,2594.572737535786,1.1933725149282468
2022,BOP,Istanbul at the Bosphorus,EMEA,11509,34411.0,33468239.774280176,41525949.70206712,972.6029401726244,2908.0058888070357,1206.7638168628382,1.2407569081054324
2022,BOR,Bora Bora,Americas,5211,26122.0,44412464.54364405,65365890.84606295,1700.193880393693,8522.829503673776,2502.331017765215,1.4717915683744145
2022,BOS,Boston,Americas,13429,29228.0,22882403.46,25761677.41828682,782.8932345695908,1703.9543867748903,881.4040446929937,1.125829175388852
2022,BPY,Bangkok at Chao Phraya River,APAC,11720,27798.0,9870567.882592933,14897155.209582793,355.08194411802765,842.1986247946189,535.9074469236201,1.5092500641077002
2022,BUD,Budapest,EMEA,7827,23523.0,12363958.658000609,14778850.191052718,525.6114720911708,1579.6548687876082,628.2723373316634,1.1953170177813117
2022,BUE,Buenos Aires,Americas,10139,27637.0,11530792.698020142,13899052.692167347,417.22302341137396,1137.2712001203415,502.91466845776847,1.2053857055771924
2022,CAF,Cairo at The First Residence,EMEA,18657,60989.0,12006369.63022565,13851087.751141153,196.8612312093271,643.5316304993112,227.10796620933533,1.1536449549472045
2022,CAI,Cairo at Nile Plaza,EMEA,21639,69586.0,24599839.465133633,31114457.818420164,353.51707908391967,1136.8288490749865,447.1367490360154,1.264823612467877
2022,CAR,Aviara Residences,Americas,2690,7933.0,4347816.824864744,5050915.528530638,548.0671656201619,1616.2887824776,636.6967765701044,1.1617130463374032
2022,CBL,Casablanca,EMEA,13469,31923.0,10754719.701576317,13228555.68716256,336.8956458220191,798.4794492223859,414.3894899339836,1.2300232878429787
2022,CFS,Chicago,Americas,32876,71556.0,34170390.17,41369262.52,477.5335425401085,1039.3718873950602,578.1382765945554,1.2106757433609954
