stay_year,major_market_cat,stays_count,room_nights,room_revenue,total_revenue,ADR,revenue_per_stay,TrevPOR,attach_rate
2022,Contract,687,21827.0,10933678.370622968,12473469.829613188,500.92446834759556,15915.106798577828,571.4697315074535,1.140830140305516
2022,Group,145164,406260.0,103665461.9779242,136319584.94707534,255.1702406781967,714.126518819571,335.5476417739264,1.3149952003889676
2022,Transient,708690,1821093.0,1574216148.9753501,1996930929.1289625,864.4347921689613,2221.304306502632,1096.556259965286,1.2685239764747398
2023,Contract,657,23444.0,15323914.872643108,17168215.846334007,653.6390919912603,23324.071343444608,732.3074495109199,1.1203544256816136
2023,Group,159033,442871.0,106396326.07915889,141206082.1903049,240.24225130830172,669.0204302198845,318.84246697188325,1.3271706589309067
2023,Transient,838272,2133977.0,1769253219.3552592,2239039189.891306,829.0872953903717,2110.595629288893,1049.2330469781566,1.2655278314017953
