stay_year,stay_month,year_month,stays_count,room_nights,room_revenue,total_revenue,ADR,revenue_per_stay,TrevPOR,attach_rate
2022,1,2022-01-01,54346,150675.0,151059943.39588988,190895402.47075933,1002.5547927386087,2779.596352921832,1266.9348098275052,1.263706302143056
2022,2,2022-02-01,57024,150886.0,116523791.29802516,148709980.77917746,772.2637706482057,2043.4166543565018,985.5783888444088,1.2762198957192512
2022,3,2022-03-01,72905,195545.0,152155723.97869053,193451257.36209244,778.1110433848502,2087.0409982674787,989.2927835643583,1.271403088254408
2022,4,2022-04-01,61357,168853.0,134282176.30325776,172797842.53750232,795.2608263001413,2188.538818769786,1023.3625848371206,1.286826348027472
2022,5,2022-05-01,77417,201522.0,131169686.67850809,168246070.87211418,650.89512151779,1694.3266553664969,834.8769408407726,1.2826596992983517
2022,6,2022-06-01,77686,197566.0,141684544.81749648,179860809.76879466,717.150445003171,1823.8105297929676,910.383415004579,1.2694455136265774
2022,7,2022-07-01,77665,204282.0,167001313.238474,209897683.1615862,817.5038096282296,2150.2776442216446,1027.4898579492378,1.2568624706672644
2022,8,2022-08-01,78414,208908.0,162460150.30666134,205723875.30807656,777.6636141586791,2071.8258258303536,984.7582443375867,1.2663036130383372
2022,9,2022-09-01,77492,197865.0,122083920.15584536,154672805.21571207,617.00614133801,1575.439015070528,781.7087671680796,1.2669383897426099
2022,10,2022-10-01,84229,211966.0,131855949.42951263,168176004.04746175,622.0617902376449,1565.4459797636518,793.4102830051129,1.2754525281194462
2022,11,2022-11-01,70372,188281.0,135267902.77586812,173728756.13737068,718.4362881855743,1922.1835783531535,922.7099714648355,1.2843309652344517
2022,12,2022-12-01,65634,172831.0,143270186.94566804,179563496.24500337,828.9611640600821,2182.8653890615847,1038.9542168071896,1.2533207366658825
2023,1,2023-01-01,75728,207365.0,202763516.02282897,253068572.53477496,977.8097365651338,2677.5237167603655,1220.4015746860607,1.2480971799003633
2023,2,2023-02-01,74062,190617.0,138374492.9630275,175875817.7903299,725.9294447138897,1868.3601977130986,922.66596258639,1.2710132772614562
2023,3,2023-03-01,85066,224223.0,167687036.8467153,212438184.80433375,747.8583233955272,1971.2580448912056,947.4415416988165,1.2668730320431745
2023,4,2023-04-01,80207,214833.0,167575639.5961208,213073304.37106544,780.027461312372,2089.289458477699,991.8090068614479,1.271505243152286
2023,5,2023-05-01,87983,229971.0,143018369.5034863,183143301.6733594,621.8974109930657,1625.5227658011922,796.3756372471286,1.2805578913336373
2023,6,2023-06-01,86159,225400.0,155515340.81719232,196165097.91169187,689.9527099254318,1804.9808008123623,870.297683725341,1.2613874417848152
2023,7,2023-07-01,87036,231055.0,190167069.39325657,240096604.56405112,823.0381051838591,2184.9242772330595,1039.131828196971,1.2625561582775544
2023,8,2023-08-01,85395,227731.0,172450466.95542103,217165561.63672867,757.2551253690584,2019.44454541157,953.605620827769,1.2592923954961899
2023,9,2023-09-01,82652,208004.0,124219196.92742287,158107402.83864465,597.1961929935139,1502.9182225163681,760.1171267795074,1.2728097327100056
2023,10,2023-10-01,91843,234108.0,145243883.19467428,185260806.97217745,620.4140106048246,1581.4366167772644,791.3476129486281,1.2755153807328836
2023,11,2023-11-01,83658,213454.0,142025340.61630186,183881646.80353132,665.3674356831067,1697.6898875935578,861.4579572344923,1.2947101271195622
2023,12,2023-12-01,78173,193531.0,141933107.4706134,179137186.02725628,733.3869378580868,1815.6282536248243,925.6252798117939,1.262124033072029
